,Delta_Q,Population,Technology,Fed._Relations
0,Akritirian,80447952,2,1
1,Antarians,66229820,1,0
2,Ankari,898371214,1,1
3,Annari,665476496,2,0
4,Alsuran,197581355,0,0
5,Arritheans,657751715,1,0
6,Augris,718107287,1,1
7,Aakonian,9949387,0,0
8,Benthans,816571520,0,0
9,B'omar,268883152,2,0
10,Ba'Neth,895216020,2,0
11,Banea,162312643,1,0
12,Benkaran,461399443,2,0
13,Borg,824441136,1,0
14,Botha,551878171,0,0
15,Brenari,155456742,1,0
16,Briori,166543179,0,1
17,Brunali,769474508,1,0
18,Catatati,405487003,1,1
19,Chokuzan,732096116,0,0
20,Cravic,351422065,0,0
21,Dala,990414438,1,0
22,Drouda,419382671,2,0
23,Devore,582487720,0,0
24,Dralian,892709205,1,1
25,Drayan,529549417,2,1
26,Dream Species,40287931,2,1
27,Dinaali,281810788,2,0
28,Enaran,777720678,0,0
29,Entharans,566509107,0,0
30,Entabans,441693764,1,0
31,Etanian,431650903,2,1
32,Farn,749912176,0,0
33,Fantome,975487982,2,0
34,Garan,858472642,0,1
35,Garenor,754085015,2,0
36,Hanonians,403565988,0,0
37,Hirogen,97282419,1,0
38,Hazari,35561326,0,1
39,iiari,727849482,1,0
40,Imhotep,626633795,1,1
41,IIidarian,781529475,1,1
42,Jye,782028252,0,0
43,Kesat,269294267,2,0
44,Kazon,660523327,2,0
45,Komar,894711295,2,0
46,Kadi,500201682,2,1
47,Kradin,250967838,1,0
48,Kraylor,200974752,2,1
49,Kobali,686030341,2,0
50,Krenim,855454613,0,1
51,Kinbori,754763521,0,1
52,Kolaati,385202490,0,0
53,Kolhari,375407268,2,0
54,Kyrian,349415658,0,0
55,Lyridians,412178080,1,0
56,Ledosian,854875367,1,1
57,Lokirrim,440007123,0,1
58,Makull,770186770,0,1
59,Malon,35694716,0,0
60,Mari,97210542,0,1
61,Malkoth,483762166,1,0
62,Mawasi,179291797,1,1
63,Mikhal Travelers,202262012,2,1
64,Mislenite,731840649,0,0
65,Morphinians,884567907,2,1
66,Myleans,999573720,2,1
67,Monean,135186872,1,0
68,Nasari,416441548,2,1
69,Nacene,932487521,0,0
70,Nassordin,977945948,1,1
71,Nechani,622390739,2,1
72,Nezu,683359843,1,1
73,Night Aliens,781084385,0,0
74,N'Kree,463924585,2,0
75,Norcadians,621212186,2,1
76,Nihrdron,74882174,2,1
77,Numiri,165656199,2,0
78,Nuu'Bari,404514671,0,1
79,Nygean,908699293,2,0
80,Nyrian,854752642,2,1
81,Otrin,381010643,2,0
82,Ocampa,444321169,1,0
83,Overlookers,831796120,2,1
84,Parein,383244720,1,1
85,Pralor,843369731,1,1
86,Pendari,624230746,2,1
87,Ram Izad,630947610,2,0
88,Rilnar,436811014,1,0
89,Rakosan,650270121,1,1
90,Ramuran,513190892,2,1
91,Sakari,73070136,1,1
92,Sikarian,809251554,0,0
93,Srivani,315066577,0,1
94,Silver Blood,203270100,1,0
95,Sky Spirit,368908296,2,0
96,Species 116,951791203,2,0
97,Serosian,984959303,1,1
98,Swarm Species,770340343,2,1
99,Tak Tak,786112574,2,0
100,Takarian,304610866,1,0
101,Terkellian,263078130,0,1
102,Terrellians,563637798,1,1
103,Tsunkatse,663238240,1,1
104,Talax,457992281,1,1
105,Telsian,447972315,1,1
106,Taresian,34633304,1,1
107,Trabe,278458106,0,1
108,Turei,976062355,1,0
109,Varro,280900366,0,0
110,Vaadwaur,504828054,0,1
111,Ventu,887233635,1,0
112,Vhnori,740932929,0,1
113,Vidiians,495413755,0,0
114,Viora,645223434,2,1
115,Vori,8410375,1,1
116,Voth,684452816,0,1
117,Vojean,248242042,1,0
118,Vaskans,416028940,1,0
119,Vostigye,401908549,0,0
120,Vok'sha,971755479,1,1
121,Wyngari,493180950,1,1
122,Wysanti,740895415,0,1
123,Yallitian,780398300,0,1
124,Zahl,899589783,0,0
125,Quarren,892031719,1,1
126,Qomar,392736574,2,1
